Date,Open,High,Low,Close,Volume
3/13/2024,188,193,188,188.6,"2,840"
3/12/2024,191,191,183.1,188,"1,940"
3/11/2024,195,195,180,191,780
3/8/2024,195,195,194,195,"2,270"
3/7/2024,198,198,185,195,"2,200"
3/6/2024,200,200,198,199.9,"4,140"
3/5/2024,198,200,197,200,"6,070"
3/4/2024,194,198,192.9,198,"71,530"
3/1/2024,194,195.9,193.1,195,"1,750"
2/29/2024,194,195,193.8,194,670
2/28/2024,193.5,194,193.1,193.8,"1,340"
2/27/2024,193.5,193.5,193,193,"4,050"
2/26/2024,191,193.5,191,193.5,"2,210"
2/23/2024,190.6,193.6,190.6,193.5,"3,910"
2/22/2024,187.4,191,187.4,190.5,"5,730"
2/21/2024,189.9,189.9,187.8,187.8,20
2/20/2024,189,189,183,183,"1,360"
2/19/2024,189.9,189.9,185,189.7,"1,340"
2/16/2024,188.7,188.7,187.7,187.7,"4,450"
2/15/2024,189,189,185.1,188.7,"2,910"
2/14/2024,189.5,189.5,189,189,30
2/13/2024,188,189.9,187,189,"2,390"
2/12/2024,183.1,189.9,183.1,188,"5,910"
2/8/2024,188.4,188.4,183.1,183.1,200
2/7/2024,187.8,190,180,180,"1,930"
2/6/2024,188,189.9,180,184,"11,990"
2/5/2024,184.3,190,175,187.9,"31,710"
2/2/2024,187,190,182,190,"2,070"
2/1/2024,190,190,171,187.2,"2,560"
1/31/2024,189,190,189,189,120
1/30/2024,184,189,183,189,630
1/29/2024,184,185,184,184,"1,190"
1/26/2024,190.9,190.9,185,185,340
1/25/2024,190.9,191,184,184,"14,630"
1/24/2024,179.6,191.2,179.6,190.9,"10,050"
1/23/2024,177.5,179.6,177.2,179.6,"2,210"
1/22/2024,177,177.2,177,177,"1,060"
1/19/2024,177,177,177,177,100
1/18/2024,176,177,176,177,"12,680"
1/17/2024,177.7,177.8,176,176.9,"38,450"
1/16/2024,177.1,178,174,174,730
1/15/2024,177.4,178,177.1,177.1,"1,030"
1/12/2024,178.4,179.6,177.2,177.2,760
1/11/2024,178.4,178.4,178.4,178.4,160
